Wavelength (nm),n,k
947.118880514,0.2179605117,6.0009705577
966.808882365,0.2226867275,6.1352432624
986.908226887,0.2276195977,6.2720735838
1007.42542406,0.2327677934,6.4115209342
1028.36916076,0.2381403267,6.5536456027
1049.7483045,0.243746567,6.6985087939
1071.57190709,0.2495962569,6.8461726666
1093.84920857,0.2556995285,6.9967003698
1116.58964103,0.2620669216,7.1501560781
1139.80283269,0.2687094011,7.3066050268
1163.49861191,0.2756383762,7.4661135451
1187.68701137,0.2828657198,7.6287490893
1212.37827235,0.2904037887,7.794580275
1237.582849,0.2982654447,7.9636769089
1263.31141285,0.3064640765,8.1361100202
1289.57485725,0.3150136222,8.3119518912
1316.38430203,0.3239285926,8.4912760882
1343.75109819,0.3332240961,8.674157491
1371.68683271,0.3429158633,8.8606723236
1400.20333347,0.3530202736,9.0508981831
1429.31267422,0.3635543824,9.2449140695
1459.02717974,0.3745359494,9.4428004149
1489.35943101,0.3859834674,9.6446391121
1520.32227059,0.3979161931,9.850513544
1551.92880799,0.4103541789,10.0605086115
1584.19242529,0.4233183047,10.2747107629
1617.12678277,0.4368303129,10.4932080212
1650.74582469,0.450912843,10.716090013
1685.0637852,0.4655894682,10.9434479958
1720.09519439,0.4808847334,11.1753748861
1755.85488439,0.496824195,11.4119652867
1792.3579957,0.5134344609,11.6533155137
1829.61998359,0.5307432335,11.8995236238
1867.65662461,0.5487793532,12.1506894408
1906.48402331,0.5675728446,12.4069145815
1946.11861905,0.5871549628,12.6683024819
1986.57719294,0.6075582435,12.9349584225
2027.87687497,0.6288165527,13.2069895534
2070.03515123,0.6509651402,13.4845049182
2113.06987137,0.6740406936,13.7676154783
2156.99925609,0.6980813953,14.0564341359
2201.8419049,0.7231269806,14.3510757562
2247.61680399,0.7492187985,14.6516571889
2294.34333425,0.7763998747,14.9582972893
2342.04127949,0.8047149763,15.2711169376
2390.73083481,0.8342106791,15.5902390578
2440.43261516,0.8649354373,15.9157886351
2491.16766405,0.8969396553,16.2478927319
2542.95746248,0.9302757622,16.586680503
2595.82393804,0.9649982886,16.9322832086
2649.78947414,1.0011639458,17.2848342262
2704.87691958,1.0388317082,17.6444690604
2761.10959812,1.0780628976,18.011325351
2818.51131845,1.1189212705,18.3855428791
2877.1063842,1.1614731084,18.7672635706
2936.91960427,1.2057873104,19.1566314978
2997.97630331,1.2519354889,19.5537928782
3060.30233246,1.299992068,19.9588960707
3123.9240803,1.3500343847,20.3720915685
3188.868484,1.4021427934,20.7935319897
3255.16304072,1.4564007725,21.2233720631
3322.83581931,1.5128950348,21.6617686123
3391.91547211,1.5717156402,22.1088805344
3462.43124716,1.6329561112,22.5648687752
3534.41300053,1.6967135517,23.0298963006
3607.89120897,1.7630887687,23.5041280626
3682.89698284,1.8321863957,23.9877309606
3759.46207926,1.9041150203,24.4808737984
3837.61891556,1.9789873135,24.9837272343
3917.40058299,2.0569201616,25.4964637269
3998.84086078,2.138034801,26.0192574734
4081.97423038,2.2224569548,26.552284343
4166.8358901,2.3103169719,27.0957218022
4253.46176999,2.4017499683,27.6497488336
4341.88854708,2.4968959691,28.2145458474
4432.15366088,2.5959000539,28.7902945846
4524.29532923,2.6989125019,29.3771780121
4618.35256454,2.8060889388,29.9753802094
4714.36519021,2.9175904847,30.5850862462
4812.37385758,3.0335839019,31.2064820503
4912.42006309,3.1542417432,31.8397542665
