Wavelength (nm),n,k
311.0888977,2.688270092,0.3912366927
311.4461365,2.688735962,0.389467746
311.8033752,2.689172745,0.3876826763
312.160614,2.689609528,0.3859024942
312.5178528,2.690046787,0.384126544
312.8751221,2.690547943,0.3823077679
313.2323608,2.691049337,0.3804939687
313.5895996,2.69155097,0.3786846995
313.9468384,2.692022324,0.3768587708
314.3040771,2.692477465,0.3750252426
314.6613464,2.692932606,0.3731962442
315.0185852,2.693401337,0.3713589311
315.375824,2.693906307,0.3694904745
315.7330627,2.694411516,0.3676267862
316.0903015,2.694916964,0.365768075
316.4475708,2.695384502,0.3638801277
316.8048096,2.695846319,0.3619922996
317.1620483,2.696308613,0.360108912
317.5192871,2.696805,0.3582055867
317.8765259,2.69734621,0.3562743366
318.2337952,2.697887421,0.3543477654
318.5910339,2.698428869,0.3524266481
318.9482727,2.698913336,0.3504687846
319.3055115,2.699396849,0.3485148251
319.6627502,2.6998806,0.3465659618
320.0200195,2.700363398,0.3445954323
320.3772583,2.700844765,0.3426035345
320.7344971,2.701326847,0.3406166732
321.0917358,2.701809168,0.3386346698
321.4489746,2.702254534,0.3366066813
321.8062439,2.702699661,0.334582299
322.1634827,2.703145504,0.3325631618
322.5207214,2.703627586,0.3305177391
322.8779602,2.704154491,0.3284382224
323.235199,2.704682112,0.3263639212
323.5924683,2.705210209,0.3242944181
323.949707,2.705696106,0.3221782744
324.3069458,2.706176519,0.3200600743
324.6641846,2.706657648,0.3179469407
325.0214233,2.707154751,0.3158174157
325.3786926,2.707691669,0.3136376441
325.7359314,2.708229303,0.3114635944
326.0931702,2.708767414,0.3092948496
326.4504089,2.709275723,0.3070845306
326.8076477,2.709769249,0.3048552573
327.164917,2.710263491,0.3026309609
327.5221558,2.710758924,0.3004119396
327.8793945,2.711325645,0.2981070578
328.2366333,2.711892843,0.2958079875
328.5938721,2.712461233,0.2935144901
328.9511414,2.713013649,0.2911980748
329.3083801,2.713533878,0.2888283432
329.6656189,2.714055061,0.286464572
330.0228577,2.714577198,0.2841064036
330.3800964,2.715132713,0.2816867828
330.7373657,2.715709686,0.2792303562
331.0946045,2.716287613,0.2767803073
331.4518433,2.716866732,0.2743364573
331.809082,2.717409372,0.2717987895
332.1663208,2.71794796,0.2692528069
332.5235901,2.71848774,0.2667125463
332.8808289,2.719037056,0.2641644478
333.2380676,2.719660521,0.2614910007
333.5953064,2.720285177,0.2588244081
333.9525452,2.720911264,0.2561644614
334.3098145,2.721526861,0.2534630597
334.6670532,2.722116232,0.2506554425
335.024292,2.722707033,0.2478548139
335.3815308,2.723299742,0.2450608611
335.7387695,2.723926544,0.2421777993
336.0960388,2.724593163,0.2391889244
336.4532776,2.72526145,0.236207962
336.8105164,2.725931644,0.2332346737
337.1677551,2.726578951,0.2301176488
337.5249939,2.727211714,0.226906538
337.8822632,2.727846861,0.2237026393
338.239502,2.728484631,0.2205074131
338.5967407,2.729169369,0.2170819491
338.9539795,2.72987628,0.213562876
339.3112183,2.73058629,0.2100528479
339.6684875,2.7312994,0.2065509856
340.0257263,2.73193121,0.202722013
340.3829651,2.7325418,0.1988014579
340.7402039,2.733156919,0.1948905587
341.0974426,2.733776331,0.1909891069
341.4547119,2.734287977,0.1866274923
341.8119507,2.734778881,0.1821637899
342.1691895,2.735276222,0.177711159
342.5264282,2.735779524,0.1732687652
342.883667,2.735949278,0.1682459116
343.2409363,2.736048698,0.1630951166
343.598175,2.736157894,0.1579556614
343.9554138,2.736276388,0.1528263539
344.3126526,2.73579812,0.1470601261
344.6698914,2.73516345,0.1411205977
345.0271606,2.73454237,0.1351890862
345.3843994,2.733935595,0.1292684525
345.7416382,2.732427597,0.1228016466
346.098877,2.73057723,0.1161212251
346.4561157,2.728745699,0.1094451398
346.813385,2.726932287,0.1027724966
347.1706238,2.723249912,0.0957307071
347.5278625,2.718429327,0.0884504616
347.8851013,2.713629246,0.081159465
348.2423401,2.708848953,0.07385692
348.5996094,2.702442884,0.0686263591
348.9568481,2.694308043,0.0655772835
349.3140869,2.686168194,0.062516585
349.6713257,2.678024292,0.0594443418
350.0285645,2.671092033,0.0576941147
