Wavelength (nm),n,k
1124.5334,1.8886608,-2.07E-013
1127.9534,1.8885576,4.53E-012
1131.3733,1.8884554,1.35E-011
1134.7932,1.8883542,-4.16E-012
1138.2133,1.888254,1.36E-011
1141.6334,1.8881549,-1.41E-011
1145.0535,1.8880565,4.41E-012
1148.4738,1.8879592,1.41E-011
1151.894,1.8878629,-1.38E-011
1155.3143,1.8877674,-1.83E-011
1158.7347,1.8876729,1.84E-011
1162.1552,1.8875793,3.75E-011
1165.5757,1.8874866,0
1168.9963,1.8873947,1.99E-013
1172.4169,1.8873037,2.16E-013
1175.8376,1.8872135,1.99E-013
1179.2584,1.8871242,4.60E-012
1182.6793,1.8870357,-4.62E-012
1186.1002,1.8869481,-4.43E-012
1189.5212,1.8868612,1.93E-011
1192.9423,1.8867751,-1.92E-011
1196.3635,1.8866899,1.95E-011
1199.7848,1.8866055,1.51E-011
1203.206,1.8865217,-2.01E-011
1206.6276,1.8864388,-2.46E-011
1210.0491,1.8863566,2.54E-016
1213.4706,1.8862752,-4.35E-012
1216.8923,1.8861945,2.31E-013
1220.3141,1.8861145,1.56E-011
1223.736,1.8860352,-2.07E-011
1227.158,1.8859566,-8.57E-015
1230.58,1.8858788,-2.09E-011
1234.0022,1.8858017,2.54E-011
1237.4244,1.8857251,-2.09E-011
1240.8468,1.8856493,-4.17E-011
1244.2693,1.8855741,-8.37E-015
1247.6918,1.8854997,-4.94E-012
1251.1145,1.8854258,4.74E-012
1254.5374,1.8853526,1.63E-011
1257.9602,1.88528,4.40E-013
1261.3832,1.8852081,2.13E-011
1264.8064,1.8851368,2.79E-017
1268.2296,1.8850662,-2.54E-016
1271.653,1.884996,-4.83E-012
1275.0764,1.8849266,3.85E-011
1278.5,1.8848575,2.23E-013
1281.9237,1.8847892,2.23E-011
1285.3475,1.8847215,2.73E-011
1288.7715,1.8846543,2.20E-011
1292.1956,1.8845878,-2.25E-013
1295.6199,1.8845217,2.24E-011
1299.0442,1.8844562,-1.76E-011
1302.4686,1.8843912,-4.50E-011
1305.8933,1.8843268,-1.73E-011
1309.3181,1.8842629,-9.00E-015
1312.7429,1.8841996,6.32E-011
1316.168,1.8841368,-5.27E-012
1319.5931,1.8840744,-2.26E-011
1323.0184,1.8840126,-5.08E-012
1326.444,1.8839513,5.53E-012
1329.8695,1.8838905,-2.21E-013
1333.2953,1.8838302,2.32E-011
1336.7212,1.8837703,1.74E-014
1340.1472,1.883711,2.88E-011
1343.5735,1.8836522,8.61E-015
